test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.044
DRT,CV_LinearMMD_test,200,Null,0.05
DRT,BlockMMD_test,200,Null,0.026
DRT,bootstrap_MMD_test,200,Null,0.058
DRT,CLF_test,200,Null,0.058
DRT,CV_CLF_test,200,Null,0.088
DRT,CP_test,200,Null,0.048
DRT,debiased_test,200,Null,0.032
CIT,RCIT_test,200,Null,0.124
CIT,PCM_test,200,Null,0.08
CIT,GCM_test,200,Null,0.064
DRT,LinearMMD_test,200,Alternative,0.124
DRT,CV_LinearMMD_test,200,Alternative,0.2
DRT,BlockMMD_test,200,Alternative,0.372
DRT,bootstrap_MMD_test,200,Alternative,0.542
DRT,CLF_test,200,Alternative,0.072
DRT,CV_CLF_test,200,Alternative,0.108
DRT,CP_test,200,Alternative,0.05
DRT,debiased_test,200,Alternative,0.048
CIT,RCIT_test,200,Alternative,0.924
CIT,PCM_test,200,Alternative,0.994
CIT,GCM_test,200,Alternative,0.074
DRT,LinearMMD_test,500,Null,0.04
DRT,CV_LinearMMD_test,500,Null,0.046
DRT,BlockMMD_test,500,Null,0.054
DRT,bootstrap_MMD_test,500,Null,0.052
DRT,CLF_test,500,Null,0.042
DRT,CV_CLF_test,500,Null,0.072
DRT,CP_test,500,Null,0.052
DRT,debiased_test,500,Null,0.058
CIT,RCIT_test,500,Null,0.076
CIT,PCM_test,500,Null,0.062
CIT,GCM_test,500,Null,0.072
DRT,LinearMMD_test,500,Alternative,0.21
DRT,CV_LinearMMD_test,500,Alternative,0.376
DRT,BlockMMD_test,500,Alternative,0.888
DRT,bootstrap_MMD_test,500,Alternative,0.976
DRT,CLF_test,500,Alternative,0.068
DRT,CV_CLF_test,500,Alternative,0.082
DRT,CP_test,500,Alternative,0.07
DRT,debiased_test,500,Alternative,0.062
CIT,RCIT_test,500,Alternative,0.986
CIT,PCM_test,500,Alternative,1
CIT,GCM_test,500,Alternative,0.054
DRT,LinearMMD_test,1000,Null,0.06
DRT,CV_LinearMMD_test,1000,Null,0.032
DRT,BlockMMD_test,1000,Null,0.048
DRT,bootstrap_MMD_test,1000,Null,0.052
DRT,CLF_test,1000,Null,0.052
DRT,CV_CLF_test,1000,Null,0.088
DRT,CP_test,1000,Null,0.04
DRT,debiased_test,1000,Null,0.046
CIT,RCIT_test,1000,Null,0.064
CIT,PCM_test,1000,Null,0.04
CIT,GCM_test,1000,Null,0.056
DRT,LinearMMD_test,1000,Alternative,0.402
DRT,CV_LinearMMD_test,1000,Alternative,0.614
DRT,BlockMMD_test,1000,Alternative,1
DRT,bootstrap_MMD_test,1000,Alternative,1
DRT,CLF_test,1000,Alternative,0.064
DRT,CV_CLF_test,1000,Alternative,0.086
DRT,CP_test,1000,Alternative,0.05
DRT,debiased_test,1000,Alternative,0.048
CIT,RCIT_test,1000,Alternative,0.992
CIT,PCM_test,1000,Alternative,1
CIT,GCM_test,1000,Alternative,0.042
DRT,LinearMMD_test,2000,Null,0.05
DRT,CV_LinearMMD_test,2000,Null,0.062
DRT,BlockMMD_test,2000,Null,0.034
DRT,bootstrap_MMD_test,2000,Null,0.062
DRT,CLF_test,2000,Null,0.048
DRT,CV_CLF_test,2000,Null,0.074
DRT,CP_test,2000,Null,0.048
DRT,debiased_test,2000,Null,0.038
CIT,RCIT_test,2000,Null,0.056
CIT,PCM_test,2000,Null,0.032
CIT,GCM_test,2000,Null,0.056
DRT,LinearMMD_test,2000,Alternative,0.676
DRT,CV_LinearMMD_test,2000,Alternative,0.9
DRT,BlockMMD_test,2000,Alternative,1
DRT,bootstrap_MMD_test,2000,Alternative,1
DRT,CLF_test,2000,Alternative,0.062
DRT,CV_CLF_test,2000,Alternative,0.096
DRT,CP_test,2000,Alternative,0.056
DRT,debiased_test,2000,Alternative,0.046
CIT,RCIT_test,2000,Alternative,1
CIT,PCM_test,2000,Alternative,1
CIT,GCM_test,2000,Alternative,0.056
